,SEASON_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,NAME
28,1991-92,893,0,1610612741,CHI,29.0,80,80.0,3102.0,943,1818,0.519,27.0,100.0,0.27,491,590,0.8320000000000001,91.0,420.0,511,489,182.0,75.0,200.0,201,2404,Michael Jordan
29,1990-91,893,0,1610612741,CHI,28.0,82,82.0,3034.0,990,1837,0.539,29.0,93.0,0.312,571,671,0.851,118.0,374.0,492,453,223.0,83.0,202.0,229,2580,Michael Jordan
30,1989-90,77142,0,1610612747,LAL,30.0,79,79.0,2937.0,546,1138,0.48,106.0,276.0,0.384,567,637,0.89,128.0,394.0,522,907,132.0,34.0,289.0,167,1765,Magic Johnson
31,1988-89,77142,0,1610612747,LAL,29.0,77,77.0,2886.0,579,1137,0.509,59.0,188.0,0.314,513,563,0.9109999999999999,111.0,496.0,607,988,138.0,22.0,312.0,172,1730,Magic Johnson
32,1987-88,893,0,1610612741,CHI,25.0,82,82.0,3311.0,1069,1998,0.535,7.0,53.0,0.132,723,860,0.841,139.0,310.0,449,485,259.0,131.0,252.0,270,2868,Michael Jordan
33,1986-87,77142,0,1610612747,LAL,27.0,80,80.0,2904.0,683,1308,0.522,8.0,39.0,0.205,535,631,0.848,122.0,382.0,504,977,138.0,36.0,300.0,168,1909,Magic Johnson
34,1985-86,1449,0,1610612738,BOS,29.0,82,81.0,3113.0,796,1606,0.496,82.0,194.0,0.423,441,492,0.8959999999999999,190.0,615.0,805,557,166.0,51.0,266.0,182,2115,Larry Bird
35,1984-85,1449,0,1610612738,BOS,28.0,80,77.0,3161.0,918,1760,0.522,56.0,131.0,0.4270000000000001,403,457,0.882,164.0,678.0,842,531,129.0,98.0,248.0,208,2295,Larry Bird
36,1983-84,1449,0,1610612738,BOS,27.0,79,77.0,3028.0,758,1542,0.4920000000000001,18.0,73.0,0.247,374,421,0.888,181.0,615.0,796,520,144.0,69.0,237.0,197,1908,Larry Bird
37,1982-83,77449,0,1610612755,PHL,28.0,78,78.0,2922.0,654,1305,0.501,0.0,1.0,0.0,600,788,0.7609999999999999,445.0,749.0,1194,101,89.0,157.0,264.0,206,1908,Moses Malone
38,1981-82,77449,0,1610612745,HOU,27.0,81,81.0,3398.0,945,1822,0.519,0.0,6.0,0.0,630,827,0.762,558.0,630.0,1188,142,76.0,125.0,294.0,208,2520,Moses Malone
